Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
800.0,0.04429979,0.018529344,0.031646743,0.04968865,0.03604852
804.0,0.05158665,0.017371744,0.03503878,0.033382267,0.024004852
808.0,0.034332268,0.014717296,0.024756614,0.0360404,0.025823355
812.0,0.032714788,0.015634622,0.024316018,0.040560752,0.0293113
816.0,0.038231034,0.01801613,0.02825277,0.04546031,0.033069722
820.0,0.038084157,0.017442133,0.027915243,0.043656334,0.031736095
824.0,0.04104294,0.018420206,0.029896643,0.045077488,0.032907132
828.0,0.044961467,0.019351617,0.03231134,0.046374336,0.034111444
832.0,0.05136062,0.020450663,0.03611346,0.04986971,0.036814086
836.0,0.04054652,0.018641183,0.029543635,0.054801926,0.04051114
840.0,0.029431123,0.0151198935,0.02261436,0.039696828,0.02850985
844.0,0.03439499,0.016790997,0.02608242,0.039994776,0.028446725
848.0,0.03621637,0.017495407,0.027278703,0.042134702,0.030197844
852.0,0.035925135,0.017044183,0.026879186,0.04202236,0.030215673
856.0,0.03454193,0.016917944,0.026197556,0.043772295,0.031471588
860.0,0.034916464,0.017502438,0.026857348,0.044353932,0.031943116
864.0,0.036631756,0.018356772,0.028241176,0.045360122,0.032751888
868.0,0.037192218,0.018615458,0.028735215,0.04534268,0.032774102
872.0,0.03798137,0.019095752,0.029456263,0.045990326,0.03324645
876.0,0.03967928,0.019823268,0.030727802,0.04798828,0.034559652
880.0,0.040541857,0.01999583,0.03133746,0.048819892,0.034958668
884.0,0.039517585,0.019175636,0.030501604,0.045028724,0.032331757
888.0,0.041471954,0.020367695,0.031966288,0.04787528,0.034433782
892.0,0.041840788,0.020772297,0.03220126,0.050076097,0.035569753
896.0,0.043082833,0.02130069,0.032977857,0.052874368,0.03734322
900.0,0.0434191,0.021745257,0.033269167,0.055399008,0.03873681
904.0,0.04196876,0.021041885,0.032085847,0.05843368,0.039704345
908.0,0.043408386,0.022305124,0.033303346,0.06656334,0.04551764
912.0,0.04324492,0.02290081,0.033346828,0.0750462,0.052984588
