Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
800.0,0.04,0.04,0.03,0.05,0.01
808.0,0.03,0.03,0.02,0.04,0.01
816.0,0.04,0.03,0.02,0.05,0.01
824.0,0.04,0.03,0.02,0.05,0.02
832.0,0.05,0.04,0.03,0.05,0.02
840.0,0.03,0.03,0.02,0.04,0.01
848.0,0.03,0.03,0.02,0.04,0.01
856.0,0.03,0.03,0.02,0.05,0.01
864.0,0.03,0.03,0.02,0.05,0.02
872.0,0.04,0.03,0.02,0.05,0.02
880.0,0.04,0.04,0.03,0.05,0.02
888.0,0.04,0.04,0.03,0.05,0.02
896.0,0.04,0.04,0.03,0.06,0.02
904.0,0.04,0.04,0.03,0.06,0.02
912.0,0.04,0.06,0.03,0.08,0.02
920.0,0.04,0.03,0.02,0.04,0.02
928.0,0.04,0.03,0.03,0.03,0.02
936.0,0.04,0.02,0.03,0.03,0.02
944.0,0.04,0.03,0.03,0.03,0.02
952.0,0.04,0.03,0.03,0.04,0.02
960.0,0.04,0.03,0.03,0.04,0.02
968.0,0.04,0.03,0.02,0.04,0.01
976.0,0.04,0.03,0.03,0.04,0.02
984.0,0.04,0.03,0.03,0.04,0.02
992.0,0.04,0.03,0.03,0.04,0.02
1000.0,0.04,0.03,0.03,0.05,0.02
1008.0,0.04,0.04,0.03,0.05,0.02
1016.0,0.04,0.03,0.02,0.04,0.01
1024.0,0.04,0.03,0.02,0.04,0.01
1032.0,0.04,0.03,0.02,0.04,0.01
1040.0,0.04,0.03,0.02,0.04,0.01
1048.0,0.04,0.03,0.03,0.04,0.02
1056.0,0.04,0.03,0.03,0.05,0.02
1064.0,0.04,0.03,0.03,0.05,0.02
1072.0,0.04,0.04,0.03,0.05,0.02
1080.0,0.04,0.04,0.03,0.05,0.02
1088.0,0.04,0.04,0.03,0.05,0.02
1096.0,0.04,0.03,0.03,0.04,0.02
1104.0,0.04,0.03,0.02,0.04,0.02
1112.0,0.04,0.03,0.03,0.05,0.02
1120.0,0.04,0.04,0.03,0.05,0.02
1128.0,0.04,0.04,0.03,0.05,0.02
1136.0,0.04,0.03,0.03,0.05,0.02
1144.0,0.04,0.04,0.03,0.05,0.02
1152.0,0.05,0.04,0.03,0.06,0.02
1160.0,0.05,0.04,0.03,0.06,0.02
1168.0,0.05,0.05,0.03,0.07,0.02
1176.0,0.04,0.06,0.03,0.09,0.02
1184.0,0.05,0.08,0.03,0.12,0.02
1192.0,0.05,0.05,0.03,0.07,0.02
1200.0,0.05,0.03,0.03,0.04,0.02
1208.0,0.05,0.03,0.03,0.04,0.02
1216.0,0.05,0.04,0.03,0.05,0.02
1224.0,0.05,0.02,0.03,0.02,0.02
