Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
800.0,0.05,0.03,0.04,0.02,0.03
804.0,0.03,0.02,0.05,0.02,0.04
808.0,0.03,0.02,0.03,0.01,0.03
812.0,0.04,0.02,0.03,0.01,0.02
816.0,0.04,0.02,0.04,0.02,0.03
820.0,0.04,0.02,0.04,0.02,0.03
824.0,0.04,0.03,0.04,0.02,0.03
828.0,0.04,0.03,0.04,0.02,0.03
832.0,0.05,0.03,0.05,0.02,0.04
836.0,0.05,0.03,0.04,0.02,0.03
840.0,0.04,0.02,0.03,0.01,0.02
844.0,0.04,0.02,0.03,0.01,0.03
848.0,0.04,0.02,0.04,0.02,0.03
852.0,0.04,0.02,0.04,0.01,0.03
856.0,0.04,0.02,0.03,0.01,0.03
860.0,0.04,0.02,0.03,0.02,0.03
864.0,0.04,0.03,0.04,0.02,0.03
868.0,0.04,0.03,0.04,0.02,0.03
872.0,0.04,0.03,0.04,0.02,0.03
876.0,0.04,0.03,0.04,0.02,0.03
880.0,0.04,0.03,0.04,0.02,0.03
884.0,0.04,0.03,0.04,0.02,0.03
888.0,0.04,0.03,0.04,0.02,0.03
892.0,0.05,0.03,0.04,0.02,0.03
896.0,0.05,0.03,0.04,0.02,0.03
900.0,0.05,0.03,0.04,0.02,0.03
904.0,0.05,0.03,0.04,0.02,0.03
908.0,0.06,0.03,0.04,0.02,0.03
912.0,0.07,0.03,0.04,0.02,0.03
916.0,0.05,0.03,0.04,0.02,0.04
920.0,0.03,0.02,0.04,0.02,0.03
924.0,0.03,0.02,0.04,0.02,0.03
928.0,0.03,0.02,0.04,0.02,0.03
932.0,0.03,0.02,0.04,0.02,0.03
936.0,0.03,0.02,0.04,0.02,0.03
940.0,0.03,0.02,0.04,0.02,0.04
944.0,0.03,0.03,0.04,0.02,0.04
948.0,0.03,0.03,0.05,0.02,0.04
952.0,0.03,0.03,0.05,0.02,0.04
956.0,0.04,0.03,0.05,0.02,0.04
960.0,0.04,0.03,0.05,0.02,0.04
964.0,0.04,0.03,0.05,0.02,0.04
968.0,0.04,0.02,0.04,0.01,0.03
972.0,0.03,0.02,0.04,0.01,0.03
976.0,0.04,0.03,0.04,0.02,0.03
980.0,0.04,0.03,0.04,0.02,0.03
984.0,0.04,0.03,0.04,0.02,0.04
988.0,0.04,0.03,0.04,0.02,0.04
992.0,0.04,0.03,0.04,0.02,0.04
996.0,0.04,0.03,0.04,0.02,0.04
1000.0,0.04,0.03,0.04,0.02,0.04
1004.0,0.04,0.03,0.05,0.02,0.04
1008.0,0.04,0.03,0.04,0.02,0.04
1012.0,0.04,0.02,0.04,0.01,0.03
1016.0,0.03,0.02,0.04,0.01,0.03
1020.0,0.04,0.02,0.04,0.02,0.03
1024.0,0.04,0.03,0.04,0.02,0.03
1028.0,0.04,0.03,0.04,0.02,0.03
1032.0,0.04,0.02,0.04,0.02,0.03
1036.0,0.04,0.02,0.04,0.02,0.03
1040.0,0.04,0.02,0.04,0.02,0.03
1044.0,0.04,0.02,0.04,0.02,0.03
1048.0,0.04,0.03,0.04,0.02,0.03
1052.0,0.04,0.03,0.04,0.02,0.04
1056.0,0.04,0.03,0.04,0.02,0.04
1060.0,0.04,0.03,0.04,0.02,0.04
1064.0,0.04,0.03,0.04,0.02,0.04
1068.0,0.04,0.03,0.04,0.02,0.03
1072.0,0.04,0.03,0.04,0.02,0.03
1076.0,0.04,0.03,0.04,0.02,0.03
1080.0,0.04,0.03,0.04,0.02,0.03
1084.0,0.04,0.03,0.04,0.02,0.03
1088.0,0.04,0.03,0.05,0.02,0.03
1092.0,0.04,0.03,0.05,0.02,0.03
1096.0,0.04,0.02,0.04,0.02,0.03
1100.0,0.04,0.02,0.05,0.02,0.03
1104.0,0.04,0.02,0.04,0.02,0.03
1108.0,0.04,0.02,0.04,0.02,0.03
1112.0,0.04,0.03,0.04,0.02,0.03
1116.0,0.04,0.03,0.04,0.02,0.03
1120.0,0.04,0.03,0.04,0.02,0.03
1124.0,0.05,0.03,0.04,0.02,0.03
1128.0,0.05,0.03,0.05,0.02,0.03
1132.0,0.05,0.03,0.05,0.02,0.03
1136.0,0.04,0.03,0.05,0.02,0.03
1140.0,0.05,0.03,0.05,0.02,0.03
1144.0,0.05,0.03,0.05,0.02,0.03
1148.0,0.05,0.03,0.05,0.02,0.04
1152.0,0.05,0.03,0.05,0.02,0.04
1156.0,0.05,0.03,0.05,0.02,0.04
1160.0,0.05,0.03,0.05,0.02,0.04
1164.0,0.06,0.03,0.05,0.02,0.04
1168.0,0.06,0.03,0.05,0.02,0.03
1172.0,0.07,0.03,0.05,0.02,0.03
1176.0,0.07,0.03,0.05,0.02,0.03
1180.0,0.09,0.04,0.05,0.03,0.04
1184.0,0.1,0.04,0.05,0.03,0.04
1188.0,0.08,0.04,0.05,0.02,0.04
1192.0,0.06,0.03,0.05,0.02,0.04
1196.0,0.04,0.02,0.05,0.02,0.04
1200.0,0.03,0.02,0.05,0.02,0.04
1204.0,0.04,0.03,0.05,0.02,0.04
1208.0,0.04,0.03,0.05,0.02,0.04
1212.0,0.04,0.03,0.05,0.02,0.04
1216.0,0.04,0.03,0.05,0.02,0.04
1220.0,0.03,0.03,0.06,0.02,0.04
1224.0,0.02,0.02,0.05,0.02,0.04
1228.0,0.02,0.02,0.04,0.02,0.03
1232.0,0.03,0.02,0.04,0.02,0.03
1236.0,0.03,0.02,0.04,0.02,0.03
1240.0,0.03,0.02,0.05,0.02,0.03
1244.0,0.03,0.02,0.04,0.02,0.03
1248.0,0.04,0.02,0.04,0.02,0.03
1252.0,0.04,0.02,0.05,0.02,0.03
1256.0,0.04,0.03,0.05,0.02,0.04
1260.0,0.04,0.02,0.04,0.02,0.03
1264.0,0.04,0.02,0.03,0.02,0.02
1268.0,0.04,0.02,0.03,0.02,0.02
1272.0,0.04,0.02,0.03,0.02,0.03
1276.0,0.04,0.03,0.04,0.02,0.03
1280.0,0.04,0.03,0.04,0.02,0.03
1284.0,0.04,0.03,0.04,0.02,0.03
1288.0,0.05,0.03,0.04,0.02,0.03
1292.0,0.05,0.03,0.04,0.02,0.03
1296.0,0.05,0.03,0.04,0.02,0.03
1300.0,0.06,0.03,0.04,0.02,0.03
1304.0,0.06,0.03,0.04,0.02,0.03
1308.0,0.06,0.03,0.04,0.02,0.03
1312.0,0.04,0.02,0.04,0.02,0.03
1316.0,0.02,0.02,0.04,0.02,0.03
1320.0,0.02,0.02,0.04,0.02,0.03
1324.0,0.02,0.02,0.04,0.02,0.03
1328.0,0.02,0.02,0.04,0.02,0.03
1332.0,0.02,0.02,0.03,0.02,0.03
1336.0,0.02,0.02,0.04,0.02,0.03
1340.0,0.03,0.02,0.04,0.02,0.03
1344.0,0.03,0.02,0.04,0.02,0.03
1348.0,0.03,0.02,0.04,0.02,0.03
1352.0,0.03,0.02,0.04,0.02,0.03
1356.0,0.03,0.02,0.04,0.02,0.03
1360.0,0.03,0.02,0.04,0.02,0.03
1364.0,0.03,0.02,0.04,0.02,0.03
1368.0,0.03,0.02,0.04,0.02,0.03
1372.0,0.03,0.02,0.04,0.02,0.03
1376.0,0.02,0.02,0.03,0.02,0.03
1380.0,0.03,0.02,0.03,0.02,0.03
1384.0,0.03,0.02,0.04,0.02,0.03
1388.0,0.03,0.02,0.04,0.02,0.03
1392.0,0.03,0.02,0.04,0.02,0.03
1396.0,0.03,0.02,0.04,0.02,0.03
1400.0,0.03,0.02,0.04,0.02,0.03
1404.0,0.03,0.02,0.04,0.02,0.03
1408.0,0.03,0.03,0.04,0.02,0.03
1412.0,0.03,0.03,0.04,0.02,0.03
1416.0,0.03,0.03,0.05,0.02,0.04
1420.0,0.03,0.02,0.05,0.02,0.04
1424.0,0.03,0.03,0.05,0.02,0.04
1428.0,0.03,0.03,0.05,0.02,0.04
1432.0,0.03,0.02,0.05,0.02,0.04
1436.0,0.03,0.02,0.05,0.02,0.03
1440.0,0.03,0.02,0.04,0.02,0.03
1444.0,0.03,0.02,0.04,0.02,0.03
1448.0,0.04,0.02,0.03,0.02,0.02
1452.0,0.04,0.02,0.03,0.02,0.02
1456.0,0.04,0.02,0.03,0.02,0.02
1460.0,0.02,0.02,0.03,0.02,0.03
1464.0,0.02,0.02,0.03,0.02,0.03
1468.0,0.02,0.02,0.03,0.02,0.03
1472.0,0.02,0.02,0.04,0.02,0.03
1476.0,0.03,0.02,0.04,0.02,0.03
1480.0,0.03,0.02,0.04,0.02,0.03
1484.0,0.02,0.02,0.04,0.02,0.03
1488.0,0.03,0.02,0.04,0.02,0.03
1492.0,0.03,0.03,0.04,0.02,0.03
1496.0,0.03,0.03,0.05,0.02,0.04
1500.0,0.03,0.03,0.05,0.02,0.04
1504.0,0.03,0.03,0.07,0.03,0.05
1508.0,0.03,0.03,0.05,0.02,0.04
